Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-45.59776000,-25.29104000,17.77111000,-1.95855400
0.00061035,-53.41124000,-32.77699000,10.25496000,-9.44420200
0.00122070,-72.54432000,-48.46718000,-5.66081300,-25.13944000
0.00183105,-80.31627000,-81.88152000,-81.28648000,-55.70095000
0.00244141,-83.27702000,-80.73465000,-73.71996000,-54.34654000
0.00305176,-87.94936000,-76.77702000,-67.69659000,-52.00815000
0.00366211,-87.19268000,-75.61359000,-66.40436000,-52.78828000
0.00427246,-84.49762000,-80.16786000,-66.25920000,-60.68545000
0.00488281,-87.25539000,-81.11061000,-65.84747000,-54.70773000
0.00549316,-93.31437000,-74.25494000,-68.11153000,-51.45119000
0.00610352,-92.45767000,-76.76923000,-75.76705000,-54.87320000
0.00671387,-95.75818000,-85.24013000,-84.77991000,-68.41930000
0.00732422,-85.04904000,-91.89821000,-73.43567000,-60.86221000
0.00793457,-82.95094000,-90.96846000,-69.44972000,-82.62674000
0.00854492,-90.31013000,-89.08126000,-68.80661000,-59.84409000
0.00915527,-88.26430000,-83.04684000,-87.53366000,-57.64326000
0.00976563,-85.33620000,-79.84764000,-66.70845000,-57.24728000
0.01037598,-86.91522000,-84.21772000,-64.52469000,-60.17550000
0.01098633,-88.93414000,-84.82166000,-67.48141000,-61.12187000
0.01159668,-90.74870000,-82.06646000,-81.57118000,-55.55236000
0.01220703,-90.51775000,-81.08405000,-72.15392000,-54.99623000
0.01281738,-85.45815000,-86.33353000,-73.67976000,-73.83706000
0.01342773,-91.26768000,-77.80471000,-69.71661000,-53.75895000
0.01403809,-100.13650000,-78.07329000,-74.55257000,-53.56948000
0.01464844,-91.85851000,-77.51785000,-75.64637000,-53.23161000
0.01525879,-96.51695000,-76.75450000,-70.17191000,-52.88057000
0.01586914,-84.72859000,-79.28999000,-67.36218000,-55.27224000
0.01647949,-85.69420000,-84.05608000,-65.55635000,-57.75305000
0.01708984,-86.66526000,-78.17384000,-70.68485000,-53.61535000
0.01770020,-85.42980000,-75.65131000,-76.44752000,-51.06330000
0.01831055,-90.56037000,-76.71566000,-68.89658000,-51.59597000
0.01892090,-91.64288000,-79.62482000,-72.23388000,-56.29408000
0.01953125,-88.82053000,-82.41258000,-75.25836000,-61.73080000
0.02014160,-89.16138000,-81.48836000,-75.44618000,-58.81039000
0.02075195,-87.94458000,-77.92751000,-72.34039000,-54.78501000
0.02136230,-90.07164000,-78.78477000,-66.46508000,-56.03445000
0.02197266,-86.24856000,-78.95338000,-64.01847000,-56.25688000
0.02258301,-84.01758000,-82.25201000,-66.53160000,-59.61300000
0.02319336,-85.24452000,-85.19507000,-77.29244000,-61.25114000
0.02380371,-88.09514000,-108.82520000,-73.62656000,-74.62745000
0.02441406,-91.43372000,-97.22614000,-76.46284000,-63.20115000
0.02502441,-93.32062000,-83.02458000,-74.14857000,-60.78252000
0.02563477,-83.70787000,-80.12755000,-65.93371000,-55.33618000
0.02624512,-84.36685000,-88.06665000,-66.10893000,-65.13045000
0.02685547,-93.94362000,-81.55595000,-68.98566000,-56.07001000
0.02746582,-87.40376000,-86.32498000,-68.87504000,-61.78941000
0.02807617,-86.50493000,-84.54571000,-68.09283000,-65.55650000
0.02868652,-65.39268000,-41.51172000,-76.46050000,-17.18099000
0.02929688,-46.76981000,-23.07727000,-76.40910000,1.30204900
0.02990723,-40.83831000,-17.13323000,-73.58138000,7.25037000
0.03051758,-43.93215000,-20.24369000,-71.67151000,4.13937700
0.03112793,-57.52259000,-33.95726000,-77.32039000,-9.58544500
0.03173828,-89.39975000,-74.49506000,-71.62955000,-50.99724000
0.03234863,-87.05939000,-77.88152000,-72.84766000,-54.39583000
0.03295898,-86.69043000,-90.14900000,-74.74992000,-63.98941000
0.03356934,-86.78569000,-98.10513000,-75.33909000,-88.57757000
0.03417969,-88.63817000,-81.56073000,-78.65594000,-58.18103000
0.03479004,-86.95792000,-79.31171000,-67.68228000,-55.73185000
0.03540039,-83.01166000,-77.42374000,-65.48377000,-55.36029000
0.03601074,-86.60396000,-77.92292000,-67.49021000,-54.40592000
0.03662109,-87.33342000,-78.67162000,-74.22726000,-54.28362000
0.03723145,-83.16582000,-78.83889000,-82.39223000,-55.87280000
0.03784180,-82.87073000,-84.95078000,-71.04835000,-62.45922000
0.03845215,-82.92278000,-83.94788000,-68.04239000,-61.99372000
0.03906250,-83.95954000,-83.89705000,-69.78771000,-63.87677000
0.03967285,-86.28851000,-86.17336000,-81.92401000,-60.38164000
0.04028320,-87.92870000,-84.41470000,-78.70434000,-61.76771000
0.04089355,-95.74764000,-79.84471000,-71.13786000,-59.06461000
0.04150391,-88.48197000,-78.70850000,-67.23515000,-55.58505000
0.04211426,-85.18265000,-87.49856000,-67.54180000,-64.46552000
0.04272461,-86.75552000,-83.23578000,-73.07043000,-60.75235000
0.04333496,-96.00465000,-81.54761000,-84.09676000,-58.77866000
0.04394531,-87.73449000,-88.06615000,-72.45786000,-61.81211000
0.04455566,-82.83906000,-96.24097000,-69.89867000,-71.83360000
0.04516602,-80.52515000,-84.40133000,-70.25966000,-63.10076000
0.04577637,-86.24574000,-81.14174000,-74.72520000,-57.01266000
0.04638672,-90.32551000,-78.62360000,-85.74841000,-54.19725000
0.04699707,-89.02436000,-80.03442000,-77.73720000,-54.65472000
0.04760742,-88.38367000,-86.77529000,-71.20580000,-57.82057000
0.04821777,-92.38712000,-85.28183000,-70.07764000,-55.44640000
0.04882813,-72.45100000,-58.28960000,-71.08006000,-35.24231000
0.04943848,-58.91232000,-43.73764000,-63.29580000,-20.41397000
0.05004883,-55.49900000,-40.21027000,-57.32645000,-16.84786000
0.05065918,-61.20663000,-45.76854000,-63.03700000,-22.39939000
0.05126953,-82.18800000,-63.80888000,-83.16390000,-40.76727000
0.05187988,-88.49507000,-89.13832000,-74.85571000,-59.52707000
0.05249023,-96.70732000,-86.71877000,-71.36097000,-59.18225000
0.05310059,-90.26811000,-80.54719000,-70.69704000,-55.52258000
0.05371094,-91.99867000,-78.16494000,-69.52489000,-53.49308000
0.05432129,-96.71398000,-80.62503000,-74.47978000,-55.00354000
0.05493164,-95.77637000,-80.79480000,-73.65485000,-56.98766000
0.05554199,-91.44041000,-79.60175000,-68.99261000,-58.26041000
0.05615234,-91.51273000,-82.31604000,-72.09945000,-65.90956000
0.05676270,-98.55382000,-86.09378000,-90.97514000,-62.83823000
0.05737305,-87.79552000,-89.12865000,-70.33208000,-61.21678000
0.05798340,-84.37491000,-84.44368000,-69.78887000,-63.17852000
0.05859375,-88.83918000,-93.10056000,-72.90553000,-62.80217000
0.05920410,-84.77960000,-87.97263000,-69.36994000,-74.69135000
0.05981445,-79.55211000,-78.53143000,-67.72239000,-55.27420000
0.06042480,-80.00220000,-79.70125000,-66.45369000,-54.15398000
0.06103516,-85.97881000,-89.58279000,-64.96343000,-58.73408000
0.06164551,-85.74818000,-91.85500000,-66.09970000,-62.56491000
0.06225586,-83.24291000,-85.57428000,-74.79163000,-65.42957000
0.06286621,-86.10580000,-85.18689000,-73.22653000,-63.07723000
0.06347656,-90.40481000,-86.73141000,-70.76226000,-59.80544000
0.06408691,-87.17410000,-86.53818000,-77.97101000,-65.29855000
0.06469727,-88.06117000,-83.97720000,-73.11795000,-64.23491000
0.06530762,-89.53314000,-90.72562000,-72.00551000,-65.00694000
0.06591797,-85.91491000,-87.45254000,-69.38661000,-61.58892000
0.06652832,-89.21577000,-83.56777000,-70.93784000,-60.85634000
0.06713867,-94.56392000,-81.90407000,-84.10210000,-63.17426000
0.06774902,-86.42078000,-82.16019000,-72.81572000,-66.15739000
0.06835938,-84.85970000,-81.91234000,-77.00340000,-66.82522000
0.06896973,-83.97266000,-85.19640000,-85.25627000,-67.67984000
0.06958008,-87.62451000,-83.11069000,-87.41895000,-61.69636000
0.07019043,-90.92383000,-81.77809000,-88.38535000,-58.61569000
0.07080078,-84.63385000,-88.45361000,-95.82714000,-69.92384000
0.07141113,-90.15575000,-95.45876000,-76.14526000,-75.05794000
0.07202148,-90.63938000,-92.06013000,-68.17165000,-73.70462000
0.07263184,-85.55154000,-92.01412000,-66.36142000,-69.80439000
0.07324219,-85.75977000,-92.76254000,-68.55472000,-65.71807000
0.07385254,-82.60735000,-89.16753000,-70.17580000,-63.08838000
0.07446289,-81.30151000,-85.14647000,-72.59588000,-77.97953000
0.07507324,-82.13096000,-79.66964000,-81.78877000,-58.52513000
0.07568359,-85.55367000,-83.02730000,-71.91554000,-60.94949000
0.07629395,-89.70607000,-98.20167000,-64.97530000,-70.22051000
0.07690430,-98.79980000,-93.15029000,-64.62384000,-69.94007000
0.07751465,-84.22031000,-85.47798000,-71.50405000,-65.39676000
0.07812500,-83.92159000,-99.40295000,-71.13069000,-66.86295000
0.07873535,-87.22217000,-82.36129000,-73.02520000,-63.16647000
0.07934570,-90.39612000,-82.38773000,-77.34068000,-62.13421000
0.07995605,-82.79924000,-92.49002000,-76.32782000,-63.32525000
0.08056641,-78.57123000,-93.53088000,-76.00566000,-79.72968000
0.08117676,-79.73724000,-90.77591000,-79.64815000,-76.88612000
0.08178711,-80.13886000,-86.85180000,-70.14056000,-71.82836000
0.08239746,-78.98505000,-83.45667000,-64.31400000,-65.20827000
0.08300781,-84.44871000,-87.92180000,-64.82003000,-67.24265000
0.08361816,-90.69427000,-87.53740000,-73.37847000,-64.06252000
0.08422852,-84.77993000,-92.62421000,-89.33771000,-61.10239000
0.08483887,-82.94180000,-109.72500000,-76.16517000,-61.30187000
0.08544922,-84.97703000,-97.57068000,-71.61354000,-65.21043000
0.08605957,-84.71821000,-90.41093000,-75.07133000,-72.82149000
0.08666992,-94.52048000,-85.87569000,-77.24135000,-68.69504000
0.08728027,-85.74248000,-93.20495000,-85.84914000,-68.49200000
0.08789063,-84.42398000,-88.54684000,-72.03469000,-63.87700000
0.08850098,-91.79308000,-88.80937000,-72.28276000,-63.89256000
0.08911133,-93.47357000,-77.07244000,-70.26147000,-50.16334000
0.08972168,-79.87390000,-67.47855000,-62.43767000,-40.64500000
