Frequency,Channel B,Channel D
(kHz),(dBu),(dBu)

0.00000000,-39.13519000,-10.23623000
0.00061035,-46.55714000,-17.72538000
0.00122070,-61.21822000,-33.21972000
0.00183105,-74.06116000,-50.68829000
0.00244141,-73.06644000,-49.75237000
0.00305176,-72.40662000,-50.21709000
0.00366211,-71.80675000,-50.42929000
0.00427246,-74.16539000,-51.29883000
0.00488281,-77.62078000,-54.79900000
0.00549316,-80.82166000,-55.66927000
0.00610352,-79.40105000,-53.53897000
0.00671387,-81.94618000,-57.19051000
0.00732422,-77.49124000,-54.02746000
0.00793457,-76.34222000,-52.47047000
0.00854492,-81.61929000,-57.88947000
0.00915527,-80.87456000,-63.59654000
0.00976563,-76.26649000,-57.91139000
0.01037598,-76.75404000,-55.95960000
0.01098633,-81.98480000,-60.00688000
0.01159668,-81.54362000,-61.73941000
0.01220703,-78.08609000,-53.69327000
0.01281738,-81.35599000,-55.95311000
0.01342773,-91.68992000,-63.47253000
0.01403809,-101.87560000,-68.42509000
0.01464844,-82.59884000,-65.28761000
0.01525879,-78.09444000,-58.03780000
0.01586914,-85.43739000,-54.38682000
0.01647949,-82.21142000,-52.23244000
0.01708984,-81.88377000,-57.59124000
0.01770020,-99.22840000,-68.29940000
0.01831055,-90.19446000,-58.87975000
0.01892090,-81.87061000,-54.79307000
0.01953125,-77.34053000,-54.15065000
0.02014160,-74.37991000,-52.82863000
0.02075195,-74.73620000,-51.66311000
0.02136230,-83.99298000,-59.47322000
0.02197266,-85.53319000,-62.62660000
0.02258301,-81.11224000,-56.92249000
0.02319336,-84.43306000,-57.29482000
0.02380371,-83.42917000,-60.57417000
0.02441406,-90.83307000,-62.15570000
0.02502441,-101.45680000,-61.69046000
0.02563477,-88.11589000,-59.48082000
0.02624512,-90.08361000,-58.99545000
0.02685547,-75.02663000,-51.34457000
0.02746582,-85.97548000,-63.89894000
0.02807617,-78.49321000,-54.90545000
0.02868652,-41.25297000,-16.85124000
0.02929688,-22.87944000,1.52107600
0.02990723,-16.94100000,7.46080700
0.03051758,-20.06301000,4.34086800
0.03112793,-33.84620000,-9.43343300
0.03173828,-82.71327000,-56.53715000
0.03234863,-81.38566000,-56.04192000
0.03295898,-92.28412000,-60.11409000
0.03356934,-80.56034000,-59.43363000
0.03417969,-92.59624000,-84.37049000
0.03479004,-86.88065000,-66.44379000
0.03540039,-87.66305000,-66.32432000
0.03601074,-82.18843000,-65.18538000
0.03662109,-78.92354000,-58.89389000
0.03723145,-83.50282000,-62.03642000
0.03784180,-92.06895000,-71.15807000
0.03845215,-83.82873000,-57.78212000
0.03906250,-78.91260000,-53.13185000
0.03967285,-78.50455000,-52.55179000
0.04028320,-76.40895000,-52.73212000
0.04089355,-76.16957000,-54.51746000
0.04150391,-80.86435000,-60.87179000
0.04211426,-100.43370000,-63.81761000
0.04272461,-88.07491000,-61.10262000
0.04333496,-86.21198000,-61.72453000
0.04394531,-88.27802000,-71.41638000
0.04455566,-89.84847000,-65.51401000
0.04516602,-86.65122000,-69.48431000
0.04577637,-81.32873000,-64.53816000
0.04638672,-88.04506000,-64.40581000
0.04699707,-83.37558000,-61.82842000
0.04760742,-82.43057000,-64.07021000
0.04821777,-84.28545000,-63.96988000
0.04882813,-66.74007000,-43.84917000
0.04943848,-51.80376000,-29.27952000
0.05004883,-47.86102000,-25.29180000
0.05065918,-52.91175000,-30.28119000
0.05126953,-69.73411000,-47.02242000
0.05187988,-78.37264000,-59.57278000
0.05249023,-79.81133000,-57.39997000
0.05310059,-81.41673000,-55.73119000
0.05371094,-81.34235000,-54.53647000
0.05432129,-83.48624000,-58.95958000
0.05493164,-95.26852000,-83.01583000
0.05554199,-94.60690000,-73.91265000
0.05615234,-109.77770000,-64.35339000
0.05676270,-89.39386000,-63.30526000
0.05737305,-85.73447000,-64.67603000
0.05798340,-84.60921000,-62.96378000
0.05859375,-83.25528000,-60.60901000
0.05920410,-83.87064000,-57.01771000
0.05981445,-79.22792000,-54.59224000
0.06042480,-79.59300000,-56.62262000
0.06103516,-82.31451000,-60.26936000
0.06164551,-84.28466000,-60.94241000
0.06225586,-86.66253000,-62.95808000
0.06286621,-89.54810000,-63.38973000
0.06347656,-93.17094000,-63.37539000
0.06408691,-101.84490000,-73.96867000
0.06469727,-88.09795000,-76.79296000
0.06530762,-85.14627000,-75.86070000
0.06591797,-83.88770000,-64.35503000
0.06652832,-84.91618000,-61.81749000
0.06713867,-94.94502000,-70.68865000
0.06774902,-88.33559000,-64.42854000
0.06835938,-87.60303000,-65.63201000
0.06896973,-86.38116000,-63.34595000
0.06958008,-81.24828000,-64.08918000
0.07019043,-85.45449000,-70.97778000
0.07080078,-88.65159000,-61.79072000
0.07141113,-87.26707000,-66.76045000
0.07202148,-85.45177000,-71.55480000
0.07263184,-87.40487000,-68.66649000
0.07324219,-114.92160000,-70.33337000
0.07385254,-84.76468000,-64.31144000
0.07446289,-81.51276000,-63.40475000
0.07507324,-90.63020000,-73.39242000
0.07568359,-86.42587000,-60.37685000
0.07629395,-84.30973000,-59.74310000
0.07690430,-87.51496000,-64.60395000
0.07751465,-84.93639000,-68.11423000
0.07812500,-87.69145000,-70.54905000
0.07873535,-89.38240000,-68.63651000
0.07934570,-83.41508000,-75.77284000
0.07995605,-83.86775000,-64.69807000
0.08056641,-97.35173000,-61.01968000
0.08117676,-99.44122000,-66.05910000
0.08178711,-96.35281000,-70.19208000
0.08239746,-97.43446000,-69.26729000
0.08300781,-97.05834000,-75.75443000
0.08361816,-85.25733000,-63.04844000
0.08422852,-85.59081000,-60.76587000
0.08483887,-88.55439000,-65.33528000
0.08544922,-82.68237000,-69.84904000
0.08605957,-83.47964000,-67.78285000
0.08666992,-83.87371000,-66.39270000
0.08728027,-81.95565000,-67.51829000
0.08789063,-82.44056000,-66.94833000
0.08850098,-90.25819000,-64.42270000
0.08911133,-77.54983000,-48.02534000
0.08972168,-65.66505000,-39.14681000
0.09033203,-64.93437000,-39.66413000
0.09094238,-75.83621000,-50.04079000
0.09155273,-90.57042000,-67.44234000
0.09216309,-92.40116000,-61.34964000
0.09277344,-90.39789000,-58.44570000
0.09338379,-93.85968000,-60.42963000
0.09399414,-94.73688000,-67.50207000
0.09460449,-92.69408000,-61.98967000
0.09521484,-93.13050000,-58.23881000
0.09582520,-93.29854000,-61.01544000
0.09643555,-90.44323000,-66.38516000
0.09704590,-91.60291000,-70.55085000
0.09765625,-96.17072000,-68.08453000
0.09826660,-97.74448000,-66.74706000
0.09887695,-94.32384000,-75.18421000
0.09948730,-87.64536000,-58.21973000
0.10009766,-91.10683000,-54.43839000
0.10070801,-91.85747000,-61.40307000
0.10131836,-87.11369000,-69.22299000
0.10192871,-84.95850000,-66.15918000
0.10253906,-88.91853000,-72.06800000
0.10314941,-97.90264000,-81.82171000
0.10375977,-96.47414000,-81.47301000
0.10437012,-94.86781000,-77.12861000
0.10498047,-94.70844000,-66.92443000
0.10559082,-87.79205000,-66.43489000
0.10620117,-83.54287000,-72.79166000
0.10681152,-83.98042000,-68.83749000
0.10742188,-83.95363000,-67.64077000
0.10803223,-90.83144000,-79.04983000
0.10864258,-92.24015000,-72.12670000
0.10925293,-82.79272000,-65.87370000
0.10986328,-78.27254000,-60.22139000
0.11047363,-78.82481000,-64.50800000
0.11108398,-81.75348000,-69.87624000
0.11169434,-85.84564000,-71.57189000
0.11230469,-94.22910000,-66.51086000
0.11291504,-89.00352000,-65.73335000
0.11352539,-89.63512000,-64.31232000
0.11413574,-89.91225000,-65.60560000
0.11474609,-92.29453000,-71.39346000
0.11535645,-86.96178000,-72.27486000
0.11596680,-86.20850000,-68.90376000
0.11657715,-87.25158000,-69.90744000
0.11718750,-87.83704000,-62.86926000
0.11779785,-86.91263000,-64.19188000
0.11840820,-85.62012000,-70.30624000
0.11901855,-81.20895000,-63.04546000
0.11962891,-76.00953000,-51.15221000
0.12023926,-75.60432000,-49.29734000
0.12084961,-80.02972000,-54.68689000
0.12145996,-84.37344000,-62.34307000
0.12207031,-89.85284000,-71.41891000
0.12268066,-93.85591000,-75.10007000
0.12329102,-92.05586000,-71.12029000
0.12390137,-91.51590000,-74.05893000
0.12451172,-95.79865000,-68.99364000
0.12512207,-93.87516000,-71.64256000
0.12573242,-91.56658000,-74.14861000
0.12634277,-103.85970000,-70.69002000
0.12695313,-92.07272000,-67.83066000
0.12756348,-94.10194000,-74.82315000
0.12817383,-90.34975000,-69.17773000
0.12878418,-84.15970000,-70.17317000
0.12939453,-86.85750000,-71.43004000
0.13000488,-82.10827000,-62.98721000
0.13061523,-86.82381000,-68.32101000
0.13122559,-113.21400000,-73.30794000
0.13183594,-88.38393000,-70.74032000
0.13244629,-85.41050000,-71.37088000
0.13305664,-93.75183000,-71.61904000
0.13366699,-94.82205000,-78.92638000
0.13427734,-93.13122000,-69.59763000
0.13488770,-86.55285000,-65.97111000
0.13549805,-85.31973000,-67.15272000
0.13610840,-91.27850000,-70.44513000
0.13671875,-85.75648000,-71.67400000
0.13732910,-91.50986000,-68.96889000
0.13793945,-89.96254000,-70.15218000
0.13854980,-89.07211000,-74.96230000
0.13916016,-100.14710000,-62.79017000
0.13977051,-90.44234000,-55.52060000
0.14038086,-86.63795000,-58.32142000
0.14099121,-85.09940000,-71.38726000
0.14160156,-84.87671000,-76.60305000
0.14221191,-85.86475000,-72.79563000
0.14282227,-84.68985000,-66.70668000
0.14343262,-86.87005000,-69.24083000
0.14404297,-98.60954000,-78.46933000
0.14465332,-100.04750000,-84.96636000
0.14526367,-88.51195000,-81.52427000
0.14587402,-83.30745000,-72.25137000
0.14648438,-89.68196000,-71.63784000
