Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-40.90693000,-65.20202000,-43.75695000,-28.73838000
0.00061035,-48.33559000,-69.78518000,-51.39407000,-35.32928000
0.00122070,-63.62790000,-74.04591000,-73.98022000,-44.85135000
0.00183105,-89.29256000,-80.79944000,-64.08102000,-52.77578000
0.00244141,-86.50170000,-84.67155000,-65.31537000,-56.36898000
0.00305176,-77.70340000,-76.74043000,-68.40285000,-52.94878000
0.00366211,-74.84843000,-79.03297000,-70.02902000,-55.04863000
0.00427246,-78.38229000,-87.29974000,-67.60143000,-55.82549000
0.00488281,-89.02885000,-83.66470000,-70.57242000,-55.51731000
0.00549316,-82.17189000,-82.45216000,-67.33340000,-57.82045000
0.00610352,-76.82147000,-80.39465000,-66.99321000,-60.23653000
0.00671387,-76.58045000,-82.80781000,-73.32852000,-66.57491000
0.00732422,-73.83504000,-87.62172000,-71.40752000,-71.23763000
0.00793457,-75.45889000,-86.32343000,-68.80847000,-67.61552000
0.00854492,-79.36692000,-98.08812000,-71.16537000,-68.62585000
0.00915527,-80.82048000,-90.61528000,-77.39954000,-64.18246000
0.00976563,-81.71413000,-85.96968000,-79.22191000,-65.94594000
0.01037598,-76.50809000,-81.81987000,-70.60458000,-57.72311000
0.01098633,-74.65350000,-79.80153000,-69.82198000,-54.75555000
0.01159668,-76.29033000,-76.10398000,-67.35942000,-52.35244000
0.01220703,-75.23965000,-74.15544000,-67.07581000,-51.07937000
0.01281738,-81.69442000,-81.49868000,-72.85178000,-58.89748000
0.01342773,-82.60550000,-77.87598000,-76.46647000,-55.17305000
0.01403809,-86.61580000,-76.14722000,-74.68304000,-53.76943000
0.01464844,-89.53423000,-84.88625000,-71.79306000,-61.66646000
0.01525879,-89.02806000,-82.64642000,-72.56410000,-57.06255000
0.01586914,-91.25192000,-78.80620000,-70.75797000,-53.77610000
0.01647949,-88.11451000,-82.89193000,-68.32111000,-57.10366000
0.01708984,-76.94751000,-105.55060000,-69.31041000,-76.08079000
0.01770020,-73.20098000,-84.01501000,-68.93925000,-61.19097000
0.01831055,-71.48314000,-82.26729000,-69.98173000,-59.99430000
0.01892090,-70.17231000,-98.67065000,-78.08955000,-66.83139000
0.01953125,-71.93066000,-81.06102000,-84.23402000,-58.92120000
0.02014160,-77.31859000,-84.32282000,-77.88986000,-60.04793000
0.02075195,-80.56677000,-85.36203000,-76.81726000,-59.09089000
0.02136230,-80.48711000,-81.50436000,-76.38481000,-57.71267000
0.02197266,-80.29961000,-81.67889000,-91.60970000,-59.28190000
0.02258301,-78.31104000,-88.11966000,-78.46272000,-70.88072000
0.02319336,-77.30737000,-100.36330000,-75.63862000,-68.31409000
0.02380371,-78.01096000,-83.66386000,-71.60157000,-59.06834000
0.02441406,-79.67738000,-80.52960000,-78.23956000,-59.18592000
0.02502441,-78.26289000,-83.26836000,-74.60553000,-58.49331000
0.02563477,-70.98799000,-82.94860000,-71.11345000,-56.83144000
0.02624512,-74.56069000,-78.46268000,-71.04417000,-54.66595000
0.02685547,-80.94022000,-78.27641000,-69.10191000,-54.11706000
0.02746582,-77.00107000,-75.03193000,-67.49120000,-50.69760000
0.02807617,-79.28150000,-94.59878000,-77.16179000,-76.18001000
0.02868652,-45.32615000,-41.40217000,-72.25371000,-17.43402000
0.02929688,-26.83967000,-23.03490000,-67.19241000,0.92928210
0.02990723,-20.90254000,-17.10223000,-66.97301000,6.86267600
0.03051758,-24.02054000,-20.22024000,-79.40504000,3.74444500
0.03112793,-37.74959000,-33.93678000,-65.48347000,-9.98036000
0.03173828,-70.69103000,-72.12473000,-63.75826000,-48.37753000
0.03234863,-74.01289000,-76.67928000,-65.00556000,-51.35064000
0.03295898,-80.58361000,-84.14737000,-68.97332000,-63.38795000
0.03356934,-75.29955000,-77.25724000,-71.88326000,-52.28142000
0.03417969,-81.08982000,-83.69358000,-69.83142000,-62.40136000
0.03479004,-92.80797000,-86.23608000,-75.65736000,-64.70407000
0.03540039,-86.82865000,-84.21997000,-80.57133000,-65.33594000
0.03601074,-81.75552000,-93.66019000,-72.92020000,-65.58244000
0.03662109,-82.77086000,-89.07844000,-71.42183000,-60.40590000
0.03723145,-89.16571000,-88.94104000,-70.87193000,-60.49895000
0.03784180,-82.41799000,-88.80314000,-74.75593000,-62.06237000
0.03845215,-87.43607000,-81.70879000,-72.31270000,-58.28264000
0.03906250,-90.73106000,-79.68394000,-71.44933000,-55.72750000
0.03967285,-83.84573000,-83.77906000,-94.82222000,-57.48533000
0.04028320,-83.53173000,-89.95332000,-68.68039000,-60.47853000
0.04089355,-82.89046000,-85.03486000,-70.50591000,-61.91504000
0.04150391,-83.62285000,-81.43515000,-76.03139000,-59.14135000
0.04211426,-76.50591000,-82.32289000,-70.37372000,-57.54179000
0.04272461,-74.85661000,-83.21636000,-72.08215000,-60.82162000
0.04333496,-77.89509000,-82.99751000,-86.23879000,-63.40036000
0.04394531,-79.39399000,-86.65580000,-73.77808000,-64.39434000
0.04455566,-77.90268000,-90.07945000,-73.01112000,-64.22733000
0.04516602,-75.07448000,-89.98360000,-94.60834000,-64.39213000
0.04577637,-73.08440000,-86.43795000,-70.32085000,-57.92698000
0.04638672,-75.19363000,-83.39833000,-71.22839000,-55.72633000
0.04699707,-80.23663000,-82.33341000,-98.47548000,-58.20253000
0.04760742,-90.18821000,-86.14699000,-77.15320000,-66.64267000
0.04821777,-88.30048000,-90.04317000,-75.90663000,-65.06098000
0.04882813,-65.09792000,-66.54367000,-76.61154000,-44.75460000
0.04943848,-51.98302000,-51.85662000,-85.10400000,-29.87735000
0.05004883,-48.78548000,-48.26432000,-69.08820000,-26.25752000
0.05065918,-54.78334000,-53.81089000,-68.63074000,-31.81078000
0.05126953,-72.73453000,-71.57920000,-71.42785000,-49.87995000
0.05187988,-77.94968000,-96.94762000,-71.16156000,-75.06372000
0.05249023,-82.04131000,-87.16541000,-74.00134000,-62.33082000
0.05310059,-75.08960000,-87.92625000,-71.77837000,-61.59799000
0.05371094,-73.21468000,-91.82655000,-68.86384000,-71.64208000
0.05432129,-77.44838000,-85.33504000,-73.53865000,-62.71918000
0.05493164,-83.75001000,-88.47518000,-80.67397000,-64.95106000
0.05554199,-77.66855000,-108.40000000,-84.26525000,-74.68204000
0.05615234,-76.53253000,-85.55759000,-80.30016000,-62.37975000
0.05676270,-77.68964000,-81.23213000,-72.72880000,-58.42395000
0.05737305,-76.30679000,-82.18353000,-69.17754000,-57.57340000
0.05798340,-79.42635000,-89.47578000,-68.53919000,-69.82399000
0.05859375,-89.65401000,-85.62653000,-69.31921000,-60.38331000
0.05920410,-84.41130000,-78.37198000,-67.48737000,-51.11435000
0.05981445,-86.20352000,-72.67336000,-72.04530000,-46.34723000
0.06042480,-88.29225000,-73.27876000,-79.81590000,-48.26588000
0.06103516,-80.97202000,-78.57862000,-74.01119000,-56.70622000
0.06164551,-73.68295000,-81.20216000,-78.67187000,-61.74237000
0.06225586,-75.69687000,-89.12540000,-82.24487000,-73.53786000
0.06286621,-88.07646000,-92.30847000,-76.16750000,-64.95995000
0.06347656,-95.00843000,-88.29390000,-70.77374000,-64.26994000
0.06408691,-81.13440000,-87.83631000,-75.14554000,-78.77705000
0.06469727,-75.18729000,-83.44884000,-69.98719000,-61.14762000
0.06530762,-74.66629000,-82.29253000,-68.32543000,-60.43409000
0.06591797,-75.32935000,-89.63813000,-68.94129000,-68.92252000
0.06652832,-76.32526000,-94.87434000,-72.10824000,-76.74264000
0.06713867,-88.27451000,-94.92637000,-73.86147000,-66.54469000
0.06774902,-76.00206000,-85.67323000,-71.21489000,-61.54631000
0.06835938,-73.49462000,-89.65653000,-85.03959000,-69.31457000
0.06896973,-79.85993000,-88.19841000,-69.64650000,-64.41440000
0.06958008,-88.19968000,-81.35453000,-69.05568000,-58.06577000
0.07019043,-75.97981000,-82.73818000,-72.47222000,-57.75090000
0.07080078,-74.54534000,-90.92847000,-72.30256000,-63.15343000
0.07141113,-79.73571000,-89.52081000,-75.26128000,-62.31464000
0.07202148,-90.33408000,-89.69579000,-76.73273000,-61.02902000
0.07263184,-81.87755000,-86.69543000,-77.98926000,-59.65533000
0.07324219,-80.08363000,-83.77445000,-68.79491000,-59.01514000
0.07385254,-76.05080000,-85.24308000,-65.56126000,-61.14411000
0.07446289,-78.16354000,-90.12109000,-67.58784000,-64.45726000
0.07507324,-85.13297000,-88.57277000,-66.73119000,-72.44693000
0.07568359,-81.10634000,-89.32349000,-64.91630000,-69.83484000
0.07629395,-90.58865000,-87.58173000,-64.66917000,-63.41411000
0.07690430,-86.40903000,-83.29834000,-64.46030000,-62.03361000
0.07751465,-85.77896000,-80.67071000,-64.44246000,-62.07964000
0.07812500,-81.78929000,-82.42859000,-67.44198000,-61.55126000
0.07873535,-78.49560000,-88.34174000,-72.40472000,-63.32808000
0.07934570,-77.89450000,-89.62136000,-79.03664000,-69.42145000
0.07995605,-79.88600000,-85.39707000,-87.10260000,-74.13518000
0.08056641,-81.16722000,-84.46786000,-79.92515000,-63.22121000
0.08117676,-81.21682000,-87.77705000,-68.01602000,-63.45876000
0.08178711,-78.86819000,-85.49625000,-65.81634000,-64.71758000
0.08239746,-77.39890000,-81.71810000,-68.75315000,-62.36974000
0.08300781,-78.99331000,-82.10224000,-71.40196000,-63.61115000
0.08361816,-88.23544000,-84.41789000,-69.77537000,-66.41334000
0.08422852,-82.14619000,-90.87223000,-68.45060000,-67.99529000
0.08483887,-80.51074000,-99.28384000,-66.12282000,-64.78661000
0.08544922,-74.31243000,-93.02301000,-66.86630000,-62.89661000
0.08605957,-75.22968000,-87.10967000,-70.77203000,-63.22261000
0.08666992,-81.45337000,-92.43221000,-70.79527000,-69.23000000
0.08728027,-79.02641000,-86.60870000,-74.64397000,-67.05650000
0.08789063,-78.96363000,-84.39537000,-76.24551000,-67.41847000
0.08850098,-81.41348000,-84.47263000,-79.57846000,-58.30599000
0.08911133,-87.05807000,-61.15360000,-70.32673000,-35.82808000
0.08972168,-74.58151000,-52.10278000,-71.28838000,-26.89536000
