Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-41.57654000,-74.63223000,-43.18388000,-31.13325000
0.00061035,-49.28848000,-75.22690000,-50.98370000,-37.74941000
0.00122070,-67.87408000,-73.97007000,-72.12224000,-48.21777000
0.00183105,-85.56555000,-83.16444000,-72.26868000,-63.01253000
0.00244141,-82.17332000,-81.51276000,-68.19948000,-57.68987000
0.00305176,-76.51029000,-79.50074000,-74.12291000,-59.43949000
0.00366211,-74.82628000,-76.95597000,-68.02148000,-55.59767000
0.00427246,-73.54849000,-75.18515000,-65.51639000,-54.48463000
0.00488281,-78.85389000,-79.35180000,-65.46442000,-59.10122000
0.00549316,-77.68248000,-82.61887000,-70.98609000,-57.34141000
0.00610352,-76.67376000,-81.31547000,-81.38293000,-57.08974000
0.00671387,-80.14148000,-82.26859000,-78.43628000,-57.10487000
0.00732422,-83.62873000,-80.29100000,-77.87502000,-54.43978000
0.00793457,-84.50720000,-74.58846000,-70.50959000,-50.48150000
0.00854492,-85.76073000,-77.04009000,-76.25093000,-53.48175000
0.00915527,-84.83443000,-81.89690000,-72.71039000,-58.38863000
0.00976563,-87.65584000,-82.61896000,-70.74413000,-62.47303000
0.01037598,-84.99551000,-79.43525000,-81.45319000,-58.40105000
0.01098633,-80.43762000,-77.01446000,-71.14104000,-54.60499000
0.01159668,-81.38470000,-79.18455000,-66.54066000,-55.67674000
0.01220703,-87.50081000,-89.44236000,-66.23260000,-64.39548000
0.01281738,-90.11071000,-88.98798000,-66.51458000,-73.63133000
0.01342773,-78.80784000,-83.44295000,-67.63886000,-65.78464000
0.01403809,-81.27267000,-80.18915000,-66.79425000,-59.45389000
0.01464844,-116.24620000,-83.81960000,-67.04021000,-61.76010000
0.01525879,-111.16470000,-86.09753000,-84.84256000,-60.43201000
0.01586914,-82.55620000,-90.28154000,-73.75438000,-65.07024000
0.01647949,-80.32269000,-99.55910000,-81.37130000,-65.74439000
0.01708984,-79.17280000,-82.17467000,-79.91338000,-56.80187000
0.01770020,-77.00270000,-83.88993000,-75.04710000,-57.21761000
0.01831055,-84.33865000,-84.30911000,-71.73949000,-67.82903000
0.01892090,-92.29694000,-82.43102000,-71.32196000,-63.71738000
0.01953125,-87.29924000,-88.08139000,-76.23330000,-62.60508000
0.02014160,-85.17281000,-80.10605000,-78.43945000,-58.25843000
0.02075195,-81.88432000,-78.73748000,-76.90315000,-57.80132000
0.02136230,-75.12344000,-80.01122000,-84.42394000,-57.22477000
0.02197266,-74.05975000,-84.54977000,-78.27206000,-59.92264000
0.02258301,-76.57344000,-97.39124000,-77.01044000,-69.33031000
0.02319336,-81.84258000,-81.05987000,-84.11427000,-60.06666000
0.02380371,-82.60696000,-78.97231000,-77.72617000,-56.18718000
0.02441406,-83.78017000,-86.82541000,-97.18356000,-60.66481000
0.02502441,-77.46095000,-90.17026000,-87.08627000,-60.18055000
0.02563477,-76.70700000,-80.79031000,-73.26289000,-56.61282000
0.02624512,-77.00509000,-82.34573000,-67.22031000,-61.71133000
0.02685547,-89.51471000,-76.88301000,-68.98095000,-52.89480000
0.02746582,-80.39806000,-85.11302000,-108.05120000,-61.45491000
0.02807617,-79.65534000,-79.07877000,-67.90990000,-56.90160000
0.02868652,-45.39186000,-41.47786000,-67.10143000,-17.52958000
0.02929688,-26.84917000,-23.04930000,-71.25888000,0.91286030
0.02990723,-20.89118000,-17.10643000,-67.59456000,6.85676100
0.03051758,-23.99538000,-20.22100000,-67.06412000,3.74262800
0.03112793,-37.70745000,-33.94655000,-68.44911000,-9.97912400
0.03173828,-78.45884000,-74.40475000,-78.82522000,-50.17363000
0.03234863,-76.97174000,-78.79465000,-74.25716000,-53.48351000
0.03295898,-78.14162000,-77.27007000,-71.01121000,-52.62270000
0.03356934,-77.29897000,-79.05264000,-69.24257000,-52.82360000
0.03417969,-72.08375000,-77.44505000,-64.96355000,-51.35973000
0.03479004,-75.19799000,-84.60191000,-61.76294000,-57.31435000
0.03540039,-83.64220000,-83.73009000,-61.64035000,-60.89188000
0.03601074,-83.35614000,-83.49416000,-64.70067000,-63.25227000
0.03662109,-79.14388000,-79.19540000,-69.09209000,-57.99590000
0.03723145,-78.07877000,-79.89035000,-71.78719000,-55.71812000
0.03784180,-84.47755000,-84.18866000,-79.93697000,-59.07329000
0.03845215,-89.34002000,-96.91166000,-69.84502000,-71.79374000
0.03906250,-84.81947000,-87.96693000,-70.78461000,-62.54113000
0.03967285,-86.89153000,-81.86687000,-78.17503000,-58.63387000
0.04028320,-88.16750000,-84.16914000,-73.00276000,-60.99719000
0.04089355,-81.55733000,-81.97860000,-66.96745000,-58.27042000
0.04150391,-78.84925000,-81.41707000,-67.66746000,-56.75446000
0.04211426,-80.64223000,-88.36409000,-74.18217000,-63.09988000
0.04272461,-77.39141000,-83.87061000,-86.51588000,-58.13731000
0.04333496,-77.17258000,-80.91496000,-77.38089000,-55.35446000
0.04394531,-79.82980000,-87.04792000,-75.08372000,-59.86119000
0.04455566,-80.24934000,-98.31099000,-71.43924000,-71.40356000
0.04516602,-76.15295000,-88.84594000,-67.51835000,-89.87263000
0.04577637,-80.58203000,-85.71227000,-70.16857000,-69.36069000
0.04638672,-78.22512000,-101.64850000,-77.13857000,-67.45730000
0.04699707,-79.96371000,-86.22897000,-70.66866000,-61.69764000
0.04760742,-79.66400000,-89.37606000,-73.18257000,-65.50419000
0.04821777,-74.45512000,-97.35084000,-79.88268000,-70.38774000
0.04882813,-63.76234000,-65.75063000,-70.99257000,-43.45413000
0.04943848,-52.08144000,-51.61773000,-67.64335000,-29.62833000
0.05004883,-49.07574000,-48.23415000,-70.19691000,-26.27023000
0.05065918,-54.97705000,-53.91609000,-89.36825000,-32.02102000
0.05126953,-76.60519000,-72.23428000,-76.98341000,-50.96190000
0.05187988,-79.92890000,-91.30605000,-71.81856000,-69.41280000
0.05249023,-85.95862000,-85.47463000,-67.67246000,-61.28872000
0.05310059,-92.66488000,-85.04128000,-66.01111000,-60.31142000
0.05371094,-87.79082000,-90.16298000,-69.99570000,-64.21081000
0.05432129,-87.15328000,-110.55700000,-99.70509000,-72.77230000
0.05493164,-96.25533000,-99.48479000,-81.69392000,-74.38519000
0.05554199,-92.79488000,-88.15805000,-72.30779000,-66.65562000
0.05615234,-97.87827000,-84.59160000,-68.77254000,-61.67099000
0.05676270,-83.05645000,-82.83481000,-75.49944000,-60.96981000
0.05737305,-80.81097000,-82.66288000,-79.62857000,-64.17589000
0.05798340,-95.48287000,-82.18707000,-77.83635000,-60.51125000
0.05859375,-76.68201000,-85.85242000,-73.45235000,-62.35223000
0.05920410,-73.39603000,-78.10072000,-70.44602000,-53.96889000
0.05981445,-75.47935000,-70.50516000,-68.02861000,-45.59220000
0.06042480,-75.50283000,-71.61090000,-65.64610000,-46.51202000
0.06103516,-86.18794000,-80.34180000,-64.42482000,-54.59243000
0.06164551,-89.21486000,-87.38914000,-67.20667000,-61.27278000
0.06225586,-81.07474000,-82.83038000,-74.64270000,-58.57944000
0.06286621,-78.16360000,-81.61163000,-82.21142000,-58.61662000
0.06347656,-81.17211000,-84.78687000,-74.16710000,-65.30247000
0.06408691,-84.30020000,-89.28921000,-75.18064000,-66.33721000
0.06469727,-79.61517000,-92.78716000,-80.12340000,-62.96833000
0.06530762,-90.04543000,-88.20939000,-78.32996000,-61.24438000
0.06591797,-86.66851000,-90.29875000,-84.75938000,-62.90089000
0.06652832,-90.70126000,-101.50180000,-73.73935000,-64.62419000
0.06713867,-77.11908000,-97.55719000,-67.11139000,-67.54927000
0.06774902,-76.73395000,-91.34550000,-67.23504000,-78.48878000
0.06835938,-74.95805000,-90.16130000,-72.55506000,-66.15604000
0.06896973,-75.51897000,-92.52429000,-82.44087000,-65.42073000
0.06958008,-76.53894000,-79.63134000,-80.65137000,-57.19521000
0.07019043,-75.03355000,-78.20091000,-74.37300000,-53.98323000
0.07080078,-78.00745000,-82.41174000,-76.88795000,-56.79150000
0.07141113,-82.10983000,-83.42034000,-76.54179000,-60.11156000
0.07202148,-78.03347000,-86.53793000,-81.71204000,-64.39735000
0.07263184,-99.69616000,-99.44263000,-69.51857000,-66.36806000
0.07324219,-82.79845000,-87.10785000,-67.45166000,-63.28776000
0.07385254,-84.21410000,-88.52794000,-70.54028000,-65.39912000
0.07446289,-94.38552000,-95.65591000,-75.95496000,-67.32843000
0.07507324,-80.45564000,-93.02052000,-81.06755000,-72.12988000
0.07568359,-78.55463000,-95.76782000,-70.68681000,-72.33548000
0.07629395,-94.15314000,-94.14952000,-70.60844000,-70.20677000
0.07690430,-78.61150000,-97.09824000,-76.23013000,-83.19640000
0.07751465,-85.64693000,-89.23183000,-73.42569000,-65.84848000
0.07812500,-95.21605000,-86.22722000,-73.37218000,-62.79594000
0.07873535,-88.61996000,-94.37885000,-74.36868000,-69.76421000
0.07934570,-96.35846000,-97.28313000,-77.12585000,-72.54639000
0.07995605,-85.54237000,-92.59594000,-75.20465000,-72.50511000
0.08056641,-80.46912000,-93.51589000,-66.36572000,-75.74722000
0.08117676,-78.55947000,-91.79446000,-64.65430000,-73.47550000
0.08178711,-78.70167000,-95.45124000,-68.00121000,-67.48687000
0.08239746,-79.98603000,-96.83514000,-71.66390000,-67.46255000
0.08300781,-86.81629000,-89.10666000,-76.64951000,-64.28880000
0.08361816,-86.31222000,-94.05728000,-76.88760000,-65.28896000
0.08422852,-78.63805000,-97.67393000,-71.77203000,-73.36916000
0.08483887,-81.46401000,-96.74445000,-75.80884000,-73.99967000
0.08544922,-88.85291000,-94.23897000,-74.99534000,-67.31291000
0.08605957,-85.86516000,-95.58277000,-81.08398000,-78.84998000
0.08666992,-83.95204000,-98.53745000,-70.76336000,-66.02326000
0.08728027,-76.50437000,-88.37442000,-66.14663000,-60.34336000
0.08789063,-72.94401000,-83.17955000,-66.20985000,-57.97562000
0.08850098,-72.86152000,-82.93664000,-69.87987000,-64.24866000
0.08911133,-72.29408000,-61.51972000,-75.13009000,-36.31778000
0.08972168,-68.12784000,-52.05805000,-81.87290000,-26.94360000
