Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-40.98767000,-71.90382000,-46.14754000,-34.13018000
0.00061035,-48.37814000,-74.88457000,-53.63260000,-40.65070000
0.00122070,-63.53678000,-72.23248000,-67.78718000,-47.44256000
0.00183105,-81.10032000,-75.42117000,-69.47496000,-51.72532000
0.00244141,-76.20900000,-78.77631000,-69.19125000,-55.75262000
0.00305176,-73.52917000,-80.80481000,-69.84391000,-57.96902000
0.00366211,-76.13536000,-82.95686000,-76.41589000,-63.26083000
0.00427246,-80.78637000,-86.54000000,-72.21145000,-63.20474000
0.00488281,-82.57836000,-84.36540000,-71.47681000,-68.12092000
0.00549316,-88.26566000,-90.10843000,-71.48643000,-63.58162000
0.00610352,-79.38461000,-91.75907000,-66.79067000,-62.21017000
0.00671387,-78.22050000,-92.13293000,-62.64263000,-64.57384000
0.00732422,-82.35353000,-98.31873000,-61.64174000,-63.29430000
0.00793457,-82.74204000,-88.58265000,-63.70009000,-59.28889000
0.00854492,-74.10687000,-81.62818000,-71.63694000,-55.16647000
0.00915527,-72.23949000,-80.44547000,-74.17080000,-53.77156000
0.00976563,-71.97669000,-80.59665000,-70.91517000,-56.21201000
0.01037598,-72.40172000,-81.08771000,-73.07111000,-60.20447000
0.01098633,-80.43309000,-84.95721000,-87.76633000,-61.81091000
0.01159668,-86.22597000,-94.73064000,-79.52498000,-65.05109000
0.01220703,-88.11768000,-89.52297000,-72.87015000,-61.65210000
0.01281738,-80.33203000,-93.85239000,-66.81116000,-63.14356000
0.01342773,-77.05661000,-87.56398000,-62.48344000,-64.80408000
0.01403809,-79.32298000,-78.60435000,-61.02325000,-56.67986000
0.01464844,-91.23569000,-79.49783000,-63.17783000,-60.69040000
0.01525879,-100.86670000,-83.58305000,-68.92363000,-63.92368000
0.01586914,-91.48624000,-81.56201000,-70.74053000,-58.88197000
0.01647949,-80.35071000,-79.17480000,-70.70636000,-55.57309000
0.01708984,-77.07067000,-78.94723000,-68.13515000,-55.58117000
0.01770020,-77.49953000,-89.12430000,-67.52641000,-64.14444000
0.01831055,-78.35270000,-82.04752000,-72.29234000,-56.74954000
0.01892090,-80.59927000,-82.93329000,-73.25159000,-55.36150000
0.01953125,-82.39284000,-92.34351000,-71.82701000,-65.65540000
0.02014160,-75.29672000,-90.13469000,-70.87561000,-69.15670000
0.02075195,-78.61147000,-81.79558000,-74.57497000,-58.67703000
0.02136230,-82.65558000,-76.85591000,-77.24834000,-52.25459000
0.02197266,-78.63076000,-79.78210000,-70.27904000,-54.29770000
0.02258301,-99.91882000,-87.61963000,-65.60603000,-62.62682000
0.02319336,-79.33887000,-77.82497000,-66.42073000,-54.56438000
0.02380371,-82.03712000,-80.80072000,-71.17703000,-58.72091000
0.02441406,-78.11918000,-89.20043000,-78.41821000,-66.51701000
0.02502441,-77.85016000,-93.03210000,-93.70113000,-65.86187000
0.02563477,-79.91599000,-83.25301000,-74.70425000,-58.45780000
0.02624512,-79.31487000,-82.41165000,-74.27602000,-59.16077000
0.02685547,-86.95374000,-82.21645000,-70.65359000,-58.59809000
0.02746582,-83.67917000,-80.15408000,-69.53503000,-55.46027000
0.02807617,-86.91843000,-85.12496000,-72.35590000,-61.83521000
0.02868652,-45.30578000,-41.48709000,-69.93092000,-17.51856000
0.02929688,-26.85069000,-23.05559000,-65.67656000,0.91285840
0.02990723,-20.90271000,-17.11074000,-62.15825000,6.85626100
0.03051758,-24.01401000,-20.22563000,-62.90859000,3.74264900
0.03112793,-37.74974000,-33.96871000,-72.45673000,-9.98956500
0.03173828,-81.52968000,-75.75776000,-73.52715000,-50.82915000
0.03234863,-76.33662000,-78.26961000,-70.82436000,-53.63083000
0.03295898,-84.12782000,-90.64240000,-68.72463000,-65.80756000
0.03356934,-81.03604000,-84.26704000,-69.73605000,-59.42567000
0.03417969,-73.57451000,-85.89532000,-72.05766000,-62.72654000
0.03479004,-75.64823000,-87.07616000,-77.97297000,-68.47545000
0.03540039,-89.26904000,-81.14806000,-80.06299000,-60.23478000
0.03601074,-78.91344000,-80.34612000,-74.65703000,-59.65881000
0.03662109,-75.62733000,-82.18779000,-70.45683000,-57.46915000
0.03723145,-80.08905000,-85.13225000,-74.51662000,-61.67999000
0.03784180,-87.95852000,-87.41910000,-72.64468000,-70.55266000
0.03845215,-74.86932000,-93.66014000,-69.48038000,-63.18703000
0.03906250,-73.81601000,-88.51439000,-70.24748000,-65.03714000
0.03967285,-73.81069000,-87.54802000,-73.01453000,-68.38548000
0.04028320,-76.97649000,-91.58215000,-72.18150000,-71.99004000
0.04089355,-81.67042000,-87.50675000,-75.17971000,-61.99290000
0.04150391,-83.09546000,-84.62193000,-71.87775000,-62.60147000
0.04211426,-76.33312000,-80.72572000,-70.68591000,-57.65295000
0.04272461,-74.00954000,-77.04728000,-68.16149000,-53.67353000
0.04333496,-76.72257000,-80.88985000,-68.12838000,-56.87189000
0.04394531,-81.48737000,-85.53275000,-67.54117000,-63.28295000
0.04455566,-84.91173000,-88.96519000,-68.80643000,-69.29944000
0.04516602,-82.52600000,-90.52975000,-69.73593000,-73.91695000
0.04577637,-89.94264000,-92.22514000,-72.90623000,-74.16224000
0.04638672,-88.61269000,-87.66822000,-77.41536000,-70.82178000
0.04699707,-85.11570000,-89.80077000,-73.44942000,-73.40547000
0.04760742,-79.41415000,-93.62743000,-75.01800000,-79.11636000
0.04821777,-75.66379000,-88.99555000,-80.72387000,-73.79433000
0.04882813,-64.88655000,-64.81572000,-76.03622000,-43.24229000
0.04943848,-52.57072000,-51.34354000,-68.26745000,-29.49171000
0.05004883,-49.22826000,-47.99580000,-62.50807000,-26.14559000
0.05065918,-54.70157000,-53.46533000,-64.71664000,-31.78545000
0.05126953,-71.31217000,-70.16001000,-72.43972000,-49.45289000
0.05187988,-73.16521000,-88.81583000,-72.18257000,-60.92082000
0.05249023,-79.27058000,-85.82446000,-72.98219000,-63.12954000
0.05310059,-82.04527000,-95.00447000,-81.49815000,-66.78695000
0.05371094,-81.43475000,-83.95596000,-85.45058000,-59.46174000
0.05432129,-75.07898000,-82.76694000,-80.10906000,-59.37032000
0.05493164,-75.37000000,-78.55803000,-73.96048000,-56.08694000
0.05554199,-78.77399000,-77.66881000,-74.90741000,-55.48261000
0.05615234,-81.54788000,-82.50821000,-82.23239000,-64.04475000
0.05676270,-77.17231000,-91.88155000,-70.92765000,-67.78606000
0.05737305,-88.58578000,-94.33837000,-73.17527000,-69.28503000
0.05798340,-80.38313000,-90.73051000,-68.12915000,-63.61759000
0.05859375,-77.43777000,-93.31543000,-66.20213000,-60.69466000
0.05920410,-80.84509000,-79.89462000,-68.26994000,-54.19347000
0.05981445,-87.81564000,-71.66527000,-80.92945000,-47.04358000
0.06042480,-78.28928000,-72.96538000,-72.58875000,-48.38833000
0.06103516,-78.29481000,-82.10065000,-75.04165000,-59.22952000
0.06164551,-86.48354000,-86.98196000,-82.72585000,-72.04173000
0.06225586,-88.01523000,-88.28246000,-78.83208000,-73.34104000
0.06286621,-80.85590000,-97.23578000,-79.15681000,-81.26631000
0.06347656,-77.09859000,-92.35628000,-75.07218000,-67.11815000
0.06408691,-74.24872000,-93.77792000,-79.38934000,-69.39771000
0.06469727,-73.72202000,-100.56110000,-83.90339000,-76.93177000
0.06530762,-77.59374000,-108.12900000,-76.03802000,-65.13536000
0.06591797,-80.19946000,-99.42110000,-71.60784000,-64.07492000
0.06652832,-73.89590000,-93.57074000,-71.48370000,-68.41330000
0.06713867,-72.56483000,-87.44653000,-70.79904000,-63.82548000
0.06774902,-74.19409000,-91.71130000,-71.99022000,-62.82935000
0.06835938,-76.91947000,-85.84380000,-74.30472000,-70.98763000
0.06896973,-100.30230000,-80.18034000,-80.27947000,-60.52747000
0.06958008,-80.38849000,-83.39088000,-74.77840000,-60.20558000
0.07019043,-77.32147000,-85.16396000,-67.18742000,-57.16369000
0.07080078,-76.54063000,-92.40913000,-66.40748000,-64.45488000
0.07141113,-76.44070000,-97.43011000,-68.24393000,-65.38438000
0.07202148,-75.36185000,-87.47620000,-68.59485000,-60.59789000
0.07263184,-73.93399000,-83.40222000,-72.26875000,-57.20580000
0.07324219,-74.27727000,-83.31764000,-76.41237000,-57.50150000
0.07385254,-79.31219000,-88.57040000,-81.63895000,-64.23386000
0.07446289,-79.79058000,-87.58660000,-80.04420000,-72.75101000
0.07507324,-74.31118000,-84.77433000,-75.07567000,-68.57047000
0.07568359,-72.25687000,-88.66895000,-68.10016000,-77.82355000
0.07629395,-74.47734000,-91.77171000,-70.04435000,-76.27992000
0.07690430,-75.86447000,-87.50328000,-74.70918000,-66.13223000
0.07751465,-75.94823000,-86.79855000,-76.44756000,-61.91704000
0.07812500,-76.18580000,-98.70179000,-79.45265000,-66.12956000
0.07873535,-78.99387000,-87.88031000,-73.69319000,-63.61897000
0.07934570,-80.09190000,-90.56892000,-66.16886000,-62.35217000
0.07995605,-80.25613000,-95.12009000,-62.91790000,-63.76926000
0.08056641,-80.04426000,-91.95261000,-65.76524000,-61.61919000
0.08117676,-77.95245000,-88.61930000,-70.10258000,-59.48845000
0.08178711,-75.75480000,-89.08486000,-69.84125000,-61.93359000
0.08239746,-76.43075000,-85.60424000,-73.74721000,-67.30359000
0.08300781,-81.89994000,-85.33667000,-82.52618000,-72.05461000
0.08361816,-79.00996000,-98.20053000,-73.73224000,-70.28644000
0.08422852,-78.89380000,-89.16841000,-73.49345000,-65.83870000
0.08483887,-77.61104000,-92.27470000,-74.76569000,-74.45673000
0.08544922,-77.90492000,-92.12010000,-77.08012000,-65.40570000
0.08605957,-78.62893000,-88.25741000,-71.30872000,-68.01538000
0.08666992,-79.42472000,-89.41532000,-70.64662000,-83.69151000
0.08728027,-75.59960000,-91.02017000,-74.55350000,-73.60924000
0.08789063,-73.07477000,-86.39530000,-75.99315000,-64.42429000
0.08850098,-71.74401000,-82.54509000,-74.19682000,-58.96183000
0.08911133,-75.38420000,-60.60057000,-80.48087000,-36.13187000
0.08972168,-71.62116000,-51.49491000,-72.34837000,-27.02118000
