Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-43.45925000,-71.74371000,-46.03766000,-34.28700000
0.00061035,-51.14454000,-78.18121000,-54.28392000,-42.53068000
0.00122070,-67.67529000,-85.48457000,-81.90479000,-56.79874000
0.00183105,-83.69617000,-74.80109000,-73.20542000,-53.33429000
0.00244141,-78.26828000,-71.84962000,-67.02229000,-50.38123000
0.00305176,-75.27951000,-73.40581000,-64.29568000,-51.23695000
0.00366211,-76.70049000,-77.60448000,-65.75239000,-54.35880000
0.00427246,-76.32273000,-78.09668000,-67.79091000,-55.43569000
0.00488281,-74.06232000,-75.72573000,-67.92360000,-52.93766000
0.00549316,-76.80693000,-75.80571000,-73.99009000,-54.08968000
0.00610352,-75.50658000,-76.35701000,-84.55260000,-56.85700000
0.00671387,-78.56798000,-80.01138000,-73.64909000,-61.26827000
0.00732422,-81.40442000,-85.97482000,-69.65751000,-65.86213000
0.00793457,-78.09637000,-84.33335000,-68.46996000,-70.65451000
0.00854492,-86.47839000,-89.88731000,-66.06395000,-67.60275000
0.00915527,-78.74207000,-80.27673000,-71.25155000,-56.51276000
0.00976563,-77.92528000,-77.18546000,-78.95827000,-56.63446000
0.01037598,-83.33356000,-79.31793000,-70.25696000,-59.22201000
0.01098633,-82.56393000,-80.50813000,-68.84469000,-56.71143000
0.01159668,-82.69756000,-82.81775000,-68.25547000,-66.24416000
0.01220703,-80.53035000,-78.19678000,-70.78193000,-58.53290000
0.01281738,-85.38664000,-75.90292000,-85.94170000,-52.65471000
0.01342773,-83.59718000,-78.58830000,-74.07026000,-53.22298000
0.01403809,-79.83159000,-87.87414000,-77.99364000,-59.93952000
0.01464844,-94.97590000,-90.70754000,-88.09659000,-66.38000000
0.01525879,-82.43983000,-82.58316000,-79.39754000,-58.31205000
0.01586914,-82.59676000,-83.26872000,-72.40899000,-56.63430000
0.01647949,-88.24195000,-78.69788000,-69.64576000,-55.34795000
0.01708984,-79.13828000,-81.25220000,-69.14039000,-59.83353000
0.01770020,-82.49843000,-83.15232000,-69.63085000,-58.43629000
0.01831055,-79.03319000,-81.30218000,-67.16348000,-55.78603000
0.01892090,-72.27891000,-83.00071000,-73.21427000,-56.92408000
0.01953125,-74.37814000,-86.62901000,-76.64748000,-61.86694000
0.02014160,-88.57761000,-85.64914000,-71.85019000,-60.63364000
0.02075195,-86.93253000,-79.55623000,-68.51712000,-55.56308000
0.02136230,-96.13807000,-78.85327000,-66.27837000,-54.51564000
0.02197266,-79.62326000,-81.58485000,-73.39736000,-55.68465000
0.02258301,-74.61285000,-82.70806000,-72.49713000,-57.24561000
0.02319336,-74.27568000,-83.22966000,-72.26773000,-59.35707000
0.02380371,-76.37994000,-96.86759000,-77.50703000,-71.35899000
0.02441406,-80.36182000,-86.13989000,-72.66181000,-65.70178000
0.02502441,-78.91942000,-79.25248000,-76.98405000,-56.86821000
0.02563477,-76.72372000,-82.01600000,-72.83046000,-58.05964000
0.02624512,-81.92471000,-82.59743000,-69.53917000,-57.46060000
0.02685547,-76.70656000,-85.38979000,-78.46267000,-62.44004000
0.02746582,-80.59074000,-79.76611000,-71.04404000,-56.17420000
0.02807617,-83.09165000,-89.88274000,-84.44223000,-62.74269000
0.02868652,-45.26138000,-41.45843000,-76.65277000,-17.49235000
0.02929688,-26.84768000,-23.04785000,-71.41351000,0.91404770
0.02990723,-20.90845000,-17.10824000,-64.88202000,6.85379100
0.03051758,-24.03167000,-20.22530000,-63.25105000,3.73654100
0.03112793,-37.84219000,-33.98105000,-68.10143000,-10.01920000
0.03173828,-93.37624000,-80.42024000,-69.50385000,-56.79731000
0.03234863,-81.69303000,-81.37101000,-69.04639000,-61.10276000
0.03295898,-82.94919000,-76.44801000,-82.36252000,-54.61073000
0.03356934,-91.92287000,-87.74306000,-69.44899000,-70.49895000
0.03417969,-100.55750000,-87.67284000,-68.77534000,-83.18399000
0.03479004,-76.06765000,-88.87117000,-75.13350000,-59.48749000
0.03540039,-74.92204000,-89.64255000,-74.27998000,-58.45572000
0.03601074,-84.79186000,-87.43814000,-72.04498000,-62.89818000
0.03662109,-91.06798000,-90.10349000,-69.35115000,-66.72944000
0.03723145,-89.35426000,-91.85886000,-67.27330000,-70.68060000
0.03784180,-81.78985000,-80.85384000,-66.42656000,-63.25105000
0.03845215,-73.44846000,-75.28541000,-69.82940000,-54.43131000
0.03906250,-70.84985000,-75.14022000,-78.66782000,-52.68892000
0.03967285,-73.05169000,-77.93358000,-89.83837000,-53.72750000
0.04028320,-71.35653000,-83.66124000,-69.79568000,-57.38545000
0.04089355,-74.07579000,-86.38414000,-66.98568000,-61.51737000
0.04150391,-85.63887000,-83.57784000,-68.35765000,-57.93969000
0.04211426,-77.60257000,-94.42393000,-73.78336000,-65.37024000
0.04272461,-74.78873000,-94.12605000,-80.01450000,-74.47373000
0.04333496,-82.73105000,-89.05577000,-73.66441000,-70.67207000
0.04394531,-86.88290000,-85.19756000,-72.80169000,-63.31268000
0.04455566,-81.41158000,-90.14450000,-70.70710000,-65.34840000
0.04516602,-77.18114000,-88.91811000,-72.50505000,-71.78415000
0.04577637,-77.93938000,-79.63921000,-84.08207000,-58.05997000
0.04638672,-80.30513000,-76.61002000,-74.43847000,-55.26740000
0.04699707,-81.59543000,-79.44821000,-77.82413000,-57.98519000
0.04760742,-83.52032000,-85.15262000,-72.31435000,-61.12997000
0.04821777,-76.26710000,-83.17422000,-70.38856000,-59.17838000
0.04882813,-67.74706000,-67.98854000,-75.77757000,-45.76727000
0.04943848,-53.10852000,-52.05386000,-60.85825000,-29.92788000
0.05004883,-49.95709000,-48.28785000,-60.33163000,-26.14387000
0.05065918,-55.83786000,-53.59626000,-68.15598000,-31.45256000
0.05126953,-69.51895000,-69.42857000,-72.68079000,-47.75156000
0.05187988,-74.87036000,-81.54807000,-68.75110000,-56.01345000
0.05249023,-73.61060000,-85.93059000,-70.53082000,-60.36804000
0.05310059,-70.40639000,-86.01970000,-73.80537000,-63.19927000
0.05371094,-70.11547000,-89.94164000,-66.74945000,-63.82545000
0.05432129,-73.99081000,-91.52361000,-65.84758000,-65.92457000
0.05493164,-85.50529000,-92.64917000,-72.27525000,-68.43459000
0.05554199,-80.22905000,-84.84103000,-74.68866000,-62.71683000
0.05615234,-76.29108000,-83.61003000,-68.30793000,-63.00978000
0.05676270,-79.91960000,-84.45547000,-70.27211000,-65.12145000
0.05737305,-84.62090000,-87.61864000,-70.86783000,-69.89417000
0.05798340,-81.93074000,-94.54247000,-68.11794000,-77.57380000
0.05859375,-92.46623000,-90.99863000,-74.31612000,-71.88885000
0.05920410,-87.63544000,-74.77555000,-70.31810000,-52.40961000
0.05981445,-80.35558000,-69.03449000,-66.52715000,-46.05282000
0.06042480,-79.97735000,-72.27718000,-67.69743000,-49.30741000
0.06103516,-82.64671000,-86.72423000,-73.07150000,-77.05005000
0.06164551,-86.46825000,-83.92333000,-73.82681000,-63.85468000
0.06225586,-76.77629000,-83.03600000,-66.74477000,-67.41927000
0.06286621,-77.17379000,-90.57616000,-68.64585000,-67.01364000
0.06347656,-86.99258000,-96.24129000,-67.83805000,-69.94534000
0.06408691,-75.50025000,-92.79060000,-65.60382000,-70.02345000
0.06469727,-72.70628000,-91.01902000,-70.87981000,-85.20198000
0.06530762,-76.15868000,-82.83820000,-86.33256000,-66.60110000
0.06591797,-76.70923000,-82.20030000,-81.20729000,-65.58981000
0.06652832,-75.04965000,-84.58710000,-74.65987000,-65.92377000
0.06713867,-83.10995000,-88.85420000,-66.76595000,-66.24648000
0.06774902,-81.29912000,-110.26300000,-64.67517000,-69.92170000
0.06835938,-75.97109000,-94.24223000,-68.79938000,-66.29110000
0.06896973,-77.69547000,-88.61795000,-77.41308000,-64.76206000
0.06958008,-77.55727000,-80.79184000,-70.52100000,-58.82731000
0.07019043,-75.41867000,-79.03192000,-69.88335000,-58.23516000
0.07080078,-78.41348000,-84.85561000,-79.20772000,-66.60283000
0.07141113,-77.63869000,-82.76959000,-76.65723000,-57.69436000
0.07202148,-74.91063000,-81.31031000,-72.81439000,-56.39655000
0.07263184,-76.21222000,-85.47348000,-77.14931000,-58.55213000
0.07324219,-85.02029000,-89.63985000,-72.73436000,-61.69516000
0.07385254,-87.33994000,-92.69863000,-78.54040000,-66.23805000
0.07446289,-81.85330000,-96.65917000,-72.18889000,-69.00049000
0.07507324,-76.98818000,-95.27850000,-73.40255000,-67.81454000
0.07568359,-81.41174000,-89.01659000,-84.63761000,-64.20603000
0.07629395,-84.52119000,-87.78073000,-77.16583000,-63.65965000
0.07690430,-80.31000000,-98.31235000,-72.31828000,-64.50578000
0.07751465,-78.00083000,-95.08813000,-72.28563000,-64.82674000
0.07812500,-77.62878000,-89.31252000,-81.88996000,-73.14050000
0.07873535,-87.74677000,-89.87634000,-73.63444000,-69.99181000
0.07934570,-82.19807000,-90.07008000,-68.86033000,-65.21840000
0.07995605,-81.24589000,-91.48553000,-73.47436000,-71.21362000
0.08056641,-81.83260000,-87.80048000,-75.26859000,-67.39185000
0.08117676,-84.08484000,-87.96581000,-76.33203000,-63.07883000
0.08178711,-92.53004000,-93.47248000,-75.30740000,-63.74359000
0.08239746,-84.51306000,-95.46151000,-71.24254000,-63.50742000
0.08300781,-83.89960000,-89.38117000,-72.58638000,-61.39569000
0.08361816,-84.69037000,-84.36035000,-73.12807000,-61.91904000
0.08422852,-78.44735000,-84.80995000,-65.44164000,-73.12779000
0.08483887,-80.45623000,-92.69524000,-64.33280000,-65.78927000
0.08544922,-87.81829000,-97.82330000,-65.96081000,-64.94782000
0.08605957,-87.03141000,-90.43227000,-78.04060000,-69.77805000
0.08666992,-85.49068000,-92.78014000,-74.20548000,-71.68825000
0.08728027,-90.26444000,-90.18718000,-67.61028000,-66.78809000
0.08789063,-86.50233000,-86.75904000,-64.66518000,-68.13760000
0.08850098,-90.33823000,-86.72806000,-65.02968000,-66.23811000
0.08911133,-87.67140000,-61.20164000,-67.60692000,-36.14608000
0.08972168,-73.72485000,-52.07005000,-68.78729000,-26.95498000
