Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-40.28616000,-27.39372000,17.72902000,-1.98516900
0.00061035,-47.86859000,-35.00926000,10.21251000,-9.57657200
0.00122070,-64.71760000,-51.89184000,-5.70761600,-26.21724000
0.00183105,-87.62269000,-76.53548000,-73.14831000,-51.75258000
0.00244141,-91.16828000,-83.12122000,-84.84656000,-59.65038000
0.00305176,-94.61964000,-83.03279000,-73.23154000,-61.80651000
0.00366211,-94.84322000,-81.49370000,-78.03277000,-59.97053000
0.00427246,-88.14258000,-77.57668000,-74.89619000,-54.19831000
0.00488281,-86.69136000,-78.42194000,-71.82124000,-55.73837000
0.00549316,-85.51654000,-85.91660000,-72.33150000,-65.36570000
0.00610352,-83.81387000,-86.70886000,-72.00974000,-62.75668000
0.00671387,-80.47945000,-82.73571000,-72.56735000,-59.78572000
0.00732422,-80.50877000,-83.06412000,-75.41898000,-59.84608000
0.00793457,-82.55917000,-82.35351000,-73.85480000,-61.28294000
0.00854492,-84.20273000,-78.06219000,-72.81198000,-56.77434000
0.00915527,-85.71436000,-75.37608000,-70.15292000,-53.18454000
0.00976563,-85.17524000,-74.93414000,-73.98936000,-52.34238000
0.01037598,-83.09888000,-76.93889000,-82.70845000,-54.21367000
0.01098633,-85.13206000,-75.43589000,-80.95348000,-51.83016000
0.01159668,-92.88528000,-76.61684000,-75.05598000,-51.46096000
0.01220703,-101.78750000,-83.60835000,-73.09058000,-55.92140000
0.01281738,-90.59169000,-99.23216000,-72.17004000,-65.29387000
0.01342773,-93.66584000,-93.87285000,-79.66444000,-62.70328000
0.01403809,-87.70473000,-82.61588000,-86.51756000,-55.06971000
0.01464844,-91.75124000,-79.20447000,-75.45740000,-53.36792000
0.01525879,-91.59206000,-78.95625000,-72.66714000,-54.99889000
0.01586914,-88.43721000,-87.17215000,-80.33456000,-59.97319000
0.01647949,-86.91135000,-82.28573000,-85.80368000,-57.66932000
0.01708984,-97.74321000,-82.82430000,-82.81673000,-62.03048000
0.01770020,-91.14404000,-91.02539000,-90.51941000,-90.12625000
0.01831055,-90.81931000,-92.82258000,-81.87901000,-74.17023000
0.01892090,-91.54548000,-86.09367000,-80.36198000,-62.74199000
0.01953125,-91.47292000,-86.37268000,-74.82556000,-58.80138000
0.02014160,-98.73154000,-81.05485000,-71.70905000,-54.11760000
0.02075195,-91.67381000,-81.43347000,-72.78496000,-55.28906000
0.02136230,-94.74438000,-95.37421000,-73.75867000,-67.74251000
0.02197266,-91.69997000,-86.23290000,-78.53487000,-63.28419000
0.02258301,-87.83408000,-79.55956000,-75.84555000,-55.06292000
0.02319336,-87.84149000,-80.69328000,-72.12029000,-55.74957000
0.02380371,-97.67501000,-88.25406000,-73.00365000,-61.07082000
0.02441406,-92.94296000,-81.15710000,-76.99464000,-57.02905000
0.02502441,-90.56960000,-87.54179000,-77.42953000,-60.00362000
0.02563477,-88.85227000,-88.57825000,-80.40488000,-79.18926000
0.02624512,-93.94778000,-78.30456000,-87.73109000,-58.66194000
0.02685547,-86.69818000,-86.30936000,-80.14531000,-58.17276000
0.02746582,-87.10938000,-82.11971000,-73.92035000,-59.30318000
0.02807617,-84.60902000,-84.53502000,-76.04778000,-57.71972000
0.02868652,-64.37495000,-41.33720000,-72.52210000,-17.33800000
0.02929688,-46.70700000,-22.93553000,-70.08575000,1.03957400
0.02990723,-40.81040000,-16.99139000,-69.51127000,6.98154400
0.03051758,-43.94421000,-20.10348000,-74.98677000,3.86892800
0.03112793,-57.75438000,-33.84224000,-81.50763000,-9.86826800
0.03173828,-91.51846000,-78.06297000,-81.07466000,-53.57715000
0.03234863,-83.30727000,-79.92926000,-97.07023000,-55.34149000
0.03295898,-85.37568000,-100.56120000,-82.07658000,-80.75053000
0.03356934,-101.85860000,-79.82943000,-85.90066000,-55.06020000
0.03417969,-93.59834000,-85.29855000,-70.85773000,-60.03186000
0.03479004,-88.01232000,-81.88077000,-66.62194000,-57.54292000
0.03540039,-85.07626000,-83.96435000,-69.76279000,-59.68107000
0.03601074,-103.02450000,-91.99902000,-78.52055000,-65.41406000
0.03662109,-87.63916000,-88.44058000,-96.98528000,-61.58193000
0.03723145,-87.06780000,-88.34393000,-78.61003000,-63.70407000
0.03784180,-87.32291000,-95.74326000,-74.58833000,-67.63509000
0.03845215,-87.50785000,-84.69102000,-78.82880000,-57.65644000
0.03906250,-92.12033000,-84.02755000,-77.18668000,-57.99677000
0.03967285,-84.04411000,-82.98714000,-70.38662000,-61.57328000
0.04028320,-82.38132000,-81.22237000,-72.80734000,-60.18177000
0.04089355,-83.67459000,-82.51675000,-85.84105000,-62.74543000
0.04150391,-89.13833000,-87.50200000,-77.25409000,-63.78456000
0.04211426,-93.72502000,-90.76157000,-73.19853000,-62.06903000
0.04272461,-83.50162000,-81.92417000,-70.98118000,-55.45945000
0.04333496,-80.48911000,-79.85452000,-74.48974000,-54.92847000
0.04394531,-81.79305000,-80.30595000,-79.68072000,-60.73006000
0.04455566,-87.63397000,-87.94438000,-78.41440000,-66.13451000
0.04516602,-94.09468000,-86.65123000,-75.44626000,-63.51349000
0.04577637,-88.08046000,-78.82476000,-74.96502000,-55.51542000
0.04638672,-90.49956000,-78.96375000,-96.13949000,-56.66868000
0.04699707,-88.69008000,-88.18581000,-74.95037000,-67.81396000
0.04760742,-84.20824000,-83.14352000,-77.14745000,-60.02270000
0.04821777,-85.11960000,-82.58533000,-81.62285000,-59.72296000
0.04882813,-78.35864000,-66.64102000,-84.64073000,-44.61298000
0.04943848,-62.45235000,-50.88301000,-71.76793000,-28.64143000
0.05004883,-57.94840000,-46.49528000,-67.33766000,-24.15852000
0.05065918,-62.64529000,-51.24027000,-74.21761000,-28.75876000
0.05126953,-78.53006000,-67.93031000,-78.29853000,-44.90941000
0.05187988,-88.18032000,-92.03647000,-86.97033000,-65.61406000
0.05249023,-90.40422000,-89.34159000,-74.19580000,-70.93064000
0.05310059,-95.31727000,-84.91477000,-73.76447000,-64.61713000
0.05371094,-90.40555000,-76.37852000,-77.94362000,-54.72421000
0.05432129,-87.41859000,-76.70322000,-77.10583000,-53.88149000
0.05493164,-86.01429000,-82.71999000,-76.38210000,-57.62583000
0.05554199,-86.91608000,-94.59664000,-85.98032000,-60.10086000
0.05615234,-93.72083000,-92.05350000,-81.61096000,-60.96324000
0.05676270,-90.88868000,-85.32576000,-78.82943000,-61.18689000
0.05737305,-90.14649000,-83.45852000,-77.02512000,-59.80406000
0.05798340,-93.92943000,-83.75058000,-72.86903000,-59.33590000
0.05859375,-99.63730000,-92.20374000,-73.98560000,-76.48385000
0.05920410,-86.79112000,-69.08463000,-80.08910000,-44.07355000
0.05981445,-79.64698000,-61.41552000,-77.81068000,-36.49085000
0.06042480,-80.05476000,-62.90552000,-77.60881000,-38.00983000
0.06103516,-88.66428000,-72.88373000,-80.30350000,-47.89285000
0.06164551,-91.34788000,-82.02026000,-81.35762000,-57.07676000
0.06225586,-89.11581000,-96.35329000,-75.07681000,-65.43842000
0.06286621,-111.36270000,-84.85581000,-75.16914000,-65.45953000
0.06347656,-88.42084000,-83.11024000,-83.80512000,-64.80478000
0.06408691,-86.99787000,-97.65827000,-78.63670000,-76.11003000
0.06469727,-85.57341000,-86.84062000,-73.23151000,-64.52628000
0.06530762,-88.54964000,-86.17238000,-82.28883000,-63.00470000
0.06591797,-102.75820000,-90.07915000,-92.73795000,-62.31849000
0.06652832,-116.60340000,-91.26968000,-82.22398000,-62.86538000
0.06713867,-93.69224000,-92.36108000,-86.06656000,-66.89232000
0.06774902,-93.25288000,-94.17104000,-106.34270000,-76.80923000
0.06835938,-91.67897000,-98.92361000,-88.45699000,-80.30013000
0.06896973,-85.43825000,-91.73911000,-81.86732000,-67.95860000
0.06958008,-86.03052000,-79.64356000,-87.72324000,-55.23354000
0.07019043,-84.75854000,-78.70262000,-79.48511000,-54.51153000
0.07080078,-82.21622000,-93.87875000,-73.56475000,-75.49834000
0.07141113,-81.76167000,-89.71111000,-73.97239000,-59.21917000
0.07202148,-81.74846000,-92.53945000,-78.57072000,-58.20826000
0.07263184,-83.82012000,-91.40294000,-80.35616000,-59.22596000
0.07324219,-85.61204000,-86.94413000,-92.98619000,-62.90039000
0.07385254,-89.62799000,-86.60363000,-91.31850000,-67.22945000
0.07446289,-99.90311000,-88.19484000,-90.30614000,-72.31299000
0.07507324,-89.06631000,-82.67674000,-88.09869000,-60.63848000
0.07568359,-84.85789000,-81.58853000,-81.50456000,-58.90995000
0.07629395,-85.24681000,-82.98222000,-74.33382000,-63.84288000
0.07690430,-105.34990000,-88.57469000,-71.72047000,-66.63831000
0.07751465,-89.73373000,-103.97580000,-72.39800000,-88.12822000
0.07812500,-118.15010000,-90.60457000,-76.19189000,-63.66058000
0.07873535,-89.54971000,-94.53953000,-73.61513000,-65.63417000
0.07934570,-84.42435000,-99.04147000,-72.62793000,-68.57550000
0.07995605,-85.10135000,-87.28522000,-79.65738000,-61.19152000
0.08056641,-87.42912000,-84.05651000,-88.75686000,-58.47152000
0.08117676,-89.12128000,-85.03374000,-85.44239000,-59.42009000
0.08178711,-98.51376000,-88.52863000,-91.74720000,-63.88931000
0.08239746,-89.91025000,-90.71265000,-85.02778000,-71.15390000
0.08300781,-86.24378000,-94.24984000,-83.79508000,-72.51479000
0.08361816,-88.99436000,-90.53847000,-77.12089000,-62.71444000
0.08422852,-91.09010000,-87.67017000,-75.69575000,-62.02390000
0.08483887,-91.88994000,-99.34970000,-90.55317000,-70.49723000
0.08544922,-88.80594000,-91.74210000,-86.02621000,-72.09647000
0.08605957,-87.42963000,-89.74898000,-82.72514000,-66.91250000
0.08666992,-88.93864000,-97.44353000,-83.84717000,-72.66786000
0.08728027,-94.96891000,-106.26660000,-75.19022000,-73.98354000
0.08789063,-88.09067000,-88.61246000,-79.52081000,-67.56619000
0.08850098,-79.76596000,-80.38998000,-79.27825000,-57.20615000
0.08911133,-81.95653000,-61.25733000,-75.00121000,-36.53088000
0.08972168,-101.34640000,-52.51159000,-83.76392000,-27.74994000
