Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-40.83737000,-27.52873000,17.73629000,-1.90965900
0.00061035,-48.40577000,-35.04745000,10.22010000,-9.41521100
0.00122070,-65.01038000,-51.01222000,-5.69897600,-25.27461000
0.00183105,-84.39549000,-76.32849000,-69.02263000,-50.42307000
0.00244141,-86.85356000,-75.05042000,-74.66969000,-48.80077000
0.00305176,-85.65878000,-81.77211000,-72.58516000,-54.83247000
0.00366211,-85.64011000,-89.07373000,-72.96228000,-64.03999000
0.00427246,-95.65240000,-79.60394000,-82.93567000,-55.70463000
0.00488281,-96.20823000,-80.79477000,-82.60102000,-58.30660000
0.00549316,-85.31384000,-84.03043000,-71.53448000,-62.25760000
0.00610352,-83.16486000,-82.61987000,-68.58010000,-56.34887000
0.00671387,-86.04121000,-82.47021000,-75.58864000,-55.42456000
0.00732422,-89.04891000,-77.51406000,-74.74127000,-52.20920000
0.00793457,-90.53435000,-79.02657000,-72.63647000,-53.33875000
0.00854492,-87.96848000,-91.88000000,-79.82932000,-61.07233000
0.00915527,-86.90017000,-90.21092000,-76.01764000,-66.99593000
0.00976563,-86.60519000,-85.72814000,-74.65312000,-58.79247000
0.01037598,-89.49954000,-77.96200000,-79.18876000,-52.79909000
0.01098633,-86.91784000,-75.18310000,-71.58171000,-51.99648000
0.01159668,-83.55127000,-77.40294000,-70.10125000,-54.50222000
0.01220703,-82.82108000,-86.87630000,-72.23761000,-60.45860000
0.01281738,-87.54642000,-83.84270000,-79.56013000,-60.08791000
0.01342773,-95.19878000,-81.82753000,-81.27515000,-58.97923000
0.01403809,-93.28442000,-81.62119000,-75.98985000,-58.03830000
0.01464844,-94.68840000,-84.08710000,-77.84499000,-62.58023000
0.01525879,-93.20192000,-109.34720000,-88.88245000,-63.78039000
0.01586914,-93.76865000,-83.86781000,-82.77905000,-56.73621000
0.01647949,-93.63739000,-84.74725000,-77.34312000,-59.10172000
0.01708984,-95.41634000,-84.34924000,-74.42545000,-59.51820000
0.01770020,-89.20991000,-79.82993000,-73.54551000,-57.63906000
0.01831055,-95.23689000,-82.50919000,-71.18951000,-63.76376000
0.01892090,-92.29848000,-86.66426000,-69.73330000,-67.14476000
0.01953125,-100.51320000,-84.13342000,-73.51682000,-61.11996000
0.02014160,-85.69524000,-79.29904000,-93.87260000,-59.71521000
0.02075195,-83.98160000,-78.85696000,-80.10287000,-61.36484000
0.02136230,-90.56760000,-85.43248000,-76.14078000,-62.89155000
0.02197266,-95.28650000,-88.60654000,-75.51351000,-60.46034000
0.02258301,-85.73879000,-83.32290000,-74.08711000,-57.48288000
0.02319336,-84.61861000,-78.27569000,-74.27041000,-54.17126000
0.02380371,-87.13182000,-78.92818000,-73.90367000,-56.36982000
0.02441406,-89.18433000,-77.12546000,-71.28936000,-54.25908000
0.02502441,-89.39246000,-80.12418000,-73.84245000,-56.37589000
0.02563477,-88.71121000,-81.04621000,-85.46512000,-59.68822000
0.02624512,-84.55658000,-87.03216000,-84.98127000,-60.06930000
0.02685547,-83.39194000,-84.92586000,-75.15941000,-57.37201000
0.02746582,-84.81941000,-79.87383000,-75.93720000,-56.62103000
0.02807617,-89.89934000,-82.29521000,-75.38086000,-60.06897000
0.02868652,-64.76575000,-41.25037000,-70.12294000,-17.31282000
0.02929688,-46.59558000,-22.90958000,-69.54179000,1.05383900
0.02990723,-40.71003000,-16.97837000,-62.41119000,6.99016000
0.03051758,-43.83215000,-20.10109000,-65.81083000,3.87084600
0.03112793,-57.45581000,-33.89260000,-69.70560000,-9.90772600
0.03173828,-88.01589000,-88.30080000,-67.22482000,-61.00309000
0.03234863,-83.72987000,-88.10771000,-71.41998000,-62.65326000
0.03295898,-82.30432000,-78.91331000,-82.22301000,-55.29454000
0.03356934,-86.28429000,-90.21533000,-75.93657000,-67.49648000
0.03417969,-97.94892000,-78.13885000,-71.38343000,-55.71689000
0.03479004,-95.11184000,-89.37042000,-74.90090000,-70.53680000
0.03540039,-86.70773000,-86.11993000,-79.77525000,-58.47974000
0.03601074,-83.73695000,-80.69823000,-74.33106000,-54.58433000
0.03662109,-82.11044000,-85.90526000,-72.16035000,-61.78464000
0.03723145,-82.75810000,-95.42693000,-72.57845000,-68.07026000
0.03784180,-95.15659000,-80.14779000,-74.17810000,-55.06678000
0.03845215,-101.91540000,-76.13936000,-78.31512000,-52.47895000
0.03906250,-98.18391000,-75.13086000,-82.48711000,-52.31236000
0.03967285,-91.47144000,-77.81206000,-75.15048000,-54.09253000
0.04028320,-87.25648000,-82.67144000,-78.87927000,-57.24216000
0.04089355,-84.05429000,-82.98438000,-76.01878000,-59.53247000
0.04150391,-87.66003000,-85.07541000,-76.24441000,-66.45786000
0.04211426,-94.22513000,-86.47746000,-77.76648000,-62.48268000
0.04272461,-92.41332000,-85.67741000,-72.58630000,-64.30101000
0.04333496,-88.78848000,-85.97388000,-71.24346000,-63.97786000
0.04394531,-87.64206000,-83.56914000,-72.54867000,-60.81274000
0.04455566,-94.17863000,-91.53159000,-81.39940000,-64.49618000
0.04516602,-88.78880000,-83.87123000,-72.08890000,-59.53604000
0.04577637,-90.44783000,-83.50170000,-74.63094000,-58.92065000
0.04638672,-88.28827000,-91.75491000,-72.77597000,-67.85885000
0.04699707,-80.21351000,-89.19239000,-75.55919000,-63.73440000
0.04760742,-79.21889000,-81.60469000,-80.99825000,-55.77808000
0.04821777,-84.40785000,-78.89091000,-93.28294000,-52.77882000
0.04882813,-75.41070000,-66.40297000,-74.63111000,-44.98753000
0.04943848,-61.51293000,-50.74302000,-66.29617000,-28.60635000
0.05004883,-57.74545000,-46.39793000,-61.89122000,-24.15244000
0.05065918,-62.36076000,-50.97361000,-66.79303000,-28.73935000
0.05126953,-75.14763000,-66.29955000,-74.12415000,-44.18496000
0.05187988,-84.32426000,-81.67431000,-74.79881000,-58.93193000
0.05249023,-85.49656000,-89.93483000,-73.20471000,-63.74448000
0.05310059,-84.58293000,-85.95003000,-72.94294000,-60.68629000
0.05371094,-85.36111000,-83.89813000,-75.13469000,-57.84761000
0.05432129,-92.01636000,-100.84610000,-73.13225000,-66.23481000
0.05493164,-90.03592000,-89.37126000,-71.81865000,-88.31582000
0.05554199,-88.02323000,-86.81260000,-79.69121000,-66.91647000
0.05615234,-85.84972000,-86.53932000,-85.85498000,-61.96375000
0.05676270,-88.17221000,-98.57383000,-75.78337000,-69.26869000
0.05737305,-99.58650000,-91.72397000,-69.91794000,-68.50551000
0.05798340,-86.95485000,-84.30966000,-72.58719000,-61.66647000
0.05859375,-86.12813000,-82.73323000,-74.92891000,-61.43588000
0.05920410,-89.55795000,-68.79700000,-74.38374000,-44.91201000
0.05981445,-84.19670000,-60.92791000,-77.24738000,-36.69342000
0.06042480,-88.08223000,-62.63571000,-75.11789000,-38.27085000
0.06103516,-96.80786000,-73.08054000,-72.44256000,-48.75405000
0.06164551,-95.64072000,-88.38208000,-75.22925000,-64.71490000
0.06225586,-90.85326000,-91.68103000,-77.52331000,-68.45972000
0.06286621,-87.80651000,-91.30096000,-76.01403000,-63.41969000
0.06347656,-86.07171000,-96.78997000,-79.64651000,-73.99893000
0.06408691,-86.79979000,-82.97688000,-75.90911000,-61.26437000
0.06469727,-85.99223000,-81.10355000,-79.97549000,-61.50325000
0.06530762,-87.37581000,-83.55797000,-77.65601000,-65.87366000
0.06591797,-87.31654000,-83.61459000,-72.24038000,-62.38308000
0.06652832,-80.78596000,-93.72830000,-77.73438000,-83.14609000
0.06713867,-82.86584000,-85.85967000,-79.86138000,-65.18428000
0.06774902,-95.84102000,-90.29319000,-74.14847000,-67.25346000
0.06835938,-90.64424000,-98.59109000,-76.89754000,-69.33470000
0.06896973,-90.45558000,-91.58851000,-83.92384000,-60.00780000
0.06958008,-88.23434000,-81.22661000,-73.87759000,-55.46132000
0.07019043,-88.97983000,-80.51888000,-69.74655000,-54.77873000
0.07080078,-105.28230000,-85.24820000,-68.31212000,-58.79452000
0.07141113,-96.83137000,-83.69139000,-70.29736000,-59.52731000
0.07202148,-90.06392000,-83.27209000,-77.43102000,-62.34092000
0.07263184,-85.76981000,-85.44952000,-74.73248000,-66.57246000
0.07324219,-89.70584000,-94.14414000,-68.03579000,-74.12944000
0.07385254,-88.58803000,-89.68967000,-70.04266000,-69.00771000
0.07446289,-88.63094000,-86.71676000,-77.45743000,-67.46324000
0.07507324,-85.87246000,-91.98910000,-77.09265000,-73.30351000
0.07568359,-82.33243000,-87.12788000,-75.06690000,-64.96333000
0.07629395,-82.94032000,-86.50644000,-76.57908000,-68.26525000
0.07690430,-83.65730000,-89.33193000,-81.67031000,-65.62006000
0.07751465,-83.10471000,-89.20660000,-80.84576000,-62.03363000
0.07812500,-81.19729000,-89.31611000,-78.32196000,-61.42024000
0.07873535,-80.73291000,-90.03932000,-79.35183000,-62.19794000
0.07934570,-85.59622000,-90.44865000,-78.27129000,-67.90132000
0.07995605,-84.68999000,-86.67242000,-69.46048000,-64.14357000
0.08056641,-94.34567000,-86.56877000,-66.64252000,-59.30687000
0.08117676,-95.03701000,-83.86113000,-70.76218000,-57.80598000
0.08178711,-96.26888000,-85.87267000,-79.13490000,-60.30054000
0.08239746,-93.88823000,-85.42076000,-82.59111000,-60.99720000
0.08300781,-89.77702000,-82.03888000,-71.50860000,-59.07629000
0.08361816,-95.30225000,-85.30476000,-67.28156000,-63.22517000
0.08422852,-98.78362000,-95.85690000,-70.19660000,-85.39153000
0.08483887,-83.25370000,-89.29140000,-77.01721000,-72.16646000
0.08544922,-82.64047000,-91.94666000,-82.08083000,-80.22492000
0.08605957,-80.56228000,-90.57374000,-88.19144000,-76.73749000
0.08666992,-79.94538000,-93.85728000,-77.41733000,-73.96329000
0.08728027,-85.19945000,-93.28004000,-75.11697000,-64.88912000
0.08789063,-96.26863000,-92.03812000,-78.22468000,-63.40331000
0.08850098,-111.54300000,-102.53250000,-72.98474000,-66.49841000
0.08911133,-85.40118000,-62.44167000,-79.74349000,-36.61492000
0.08972168,-85.46948000,-52.83200000,-76.75227000,-27.64817000
